orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
38.5576546,5.794,993.0,4.02,39.7,0.2255,0.19756,550.0,87.91,1.053,1.026,0.911,CONFIRMED
3.525632539,2.59959,22335.0,11.58,1996.7,0.0431,2.43681,975.0,89.41,0.793,0.855,0.12,CONFIRMED
34.84398644,2.9315,4523.6,7.61,76.8,0.1971,1.86832,511.0,88.92,0.871,0.84,0.934,CANDIDATE
7.748094239,3.5957,2472.1,5.52,113.2,0.081,1.06292,964.0,88.02,1.085,1.181,0.517,CONFIRMED
23.96793669,3.827,1182.3,1.8,27.5,0.1322,3.03325,329.0,89.47,0.524,0.536,0.416,CONFIRMED
8.29561738,1.3421,824.3,1.82,17.9,0.0652,4.18931,469.0,87.95,0.524,0.536,0.888,CONFIRMED
8.11437482,2.2736,1558.0,2.1,56.4,0.0649,3.76716,460.0,88.61,0.517,0.553,0.573,CONFIRMED
38.036729482,4.34617,82872.0,27.5,1300.0,0.2252,6.21385,500.0,89.63,0.932,1.051,0.501,FALSE POSITIVE
4.64090031,35.512,2450.6,30.09,296.9,0.0503,0.00218,1155.0,19.01,0.826,0.786,1.28,CANDIDATE
3.747838198,5.0642,616.0,13.65,138.2,0.046,0.00878,1031.0,53.12,0.826,0.926,1.121,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,107.4,0.1221,0.55575,874.0,89.47,1.402,1.113,0.173,CONFIRMED
21.81295996,4.3791,1175.4,3.38,37.8,0.1495,2.39175,639.0,89.92,0.999,0.934,0.053,CONFIRMED
7.91936937,3.3148,15148.0,10.34,389.0,0.0737,1.13074,814.0,87.3,0.776,0.852,0.733,FALSE POSITIVE
1.028436523,1.8606,8098.0,72.77,89.6,0.0197,0.43236,1947.0,57.3,0.99,0.959,1.5734,CANDIDATE
15.37562369,3.3169,15337.0,11.01,166.0,0.1121,2.43887,600.0,88.73,0.833,0.793,0.692,CONFIRMED
8.10363271,3.161,887.9,2.11,39.3,0.0712,2.33533,687.0,89.87,0.732,0.733,0.047,CONFIRMED
4.71510843,2.506,417.5,1.46,21.3,0.0496,2.42359,823.0,88.96,0.732,0.733,0.258,CONFIRMED
6.365839713,2.9721,780.7,2.44,70.8,0.0659,1.41102,914.0,87.92,0.849,0.939,0.524,CONFIRMED
5.97581754,3.065,962.4,3.86,50.3,0.066,0.14724,1047.0,81.71,0.997,1.072,0.941,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,110.2,0.0351,0.01691,1261.0,44.81,0.863,0.959,1.241,FALSE POSITIVE
3.04033046,1.8411,10859.0,8.99,568.2,0.0374,2.31195,1021.0,85.95,0.791,0.754,0.736,CONFIRMED
15.33528675,3.897,3081.4,5.0,86.6,0.1179,0.81659,610.0,87.95,0.817,0.926,0.773,CONFIRMED
7.95825328,4.377,50.0,1.06,14.7,0.0809,0.29918,1074.0,85.95,1.402,1.113,0.706,CONFIRMED
31.33046135,5.176,5073.8,6.5,117.2,0.1898,0.70448,481.0,88.62,0.817,0.926,0.798,CONFIRMED
3.9043425,3.831,16228.0,12.28,323.4,0.0484,0.39988,1104.0,84.06,0.898,0.989,0.709,FALSE POSITIVE
9.286358079,3.49949,44791.0,17.61,1671.1,0.081,2.67897,796.0,89.06,0.821,0.82,0.377,FALSE POSITIVE
3.951405455,2.1862,2453.9,31.44,117.2,0.0482,0.19337,1133.0,76.4,0.869,0.953,1.276,FALSE POSITIVE
